payroll_id,employee_id,pay_period,base_salary_monthly,bonus,overtime_pay,gross_pay,tax_deduction,health_insurance,retirement_401k,other_deductions,net_pay,payment_method,department,currency
PAY000001,EMP01394,Mar 2024,12326.42,3000.17,861.83,16188.42,1811.03,663.43,587.05,155.51,13170.03,Check,Finance,USD
PAY000002,EMP01299,Aug 2024,17655.5,2895.72,47.71,20598.92,2775.82,321.05,1331.02,102.11,15972.56,Direct Deposit,Data Science,USD
PAY000003,EMP01925,Sep 2024,8433.08,1619.14,127.3,10179.52,1491.9,662.16,667.11,45.7,7693.02,Check,Design,USD
PAY000004,EMP01595,Mar 2024,10995.83,1972.33,0.0,12968.16,2211.02,205.27,451.98,141.78,9283.14,Check,Security,USD
PAY000005,EMP01934,Feb 2024,8528.42,1191.98,1185.94,10906.34,1472.41,294.29,696.42,174.04,8452.33,Check,Product,USD
PAY000006,EMP02002,Nov 2024,6925.92,49.68,270.73,7246.33,1225.59,793.69,459.61,36.68,5203.68,Direct Deposit,Sales,USD
PAY000007,EMP01112,Feb 2024,13376.83,28.34,40.89,13446.07,1619.49,265.63,924.86,10.11,10746.92,Direct Deposit,HR,USD
PAY000008,EMP02146,Apr 2024,9829.92,2177.71,205.93,12213.56,1994.3,711.28,669.12,184.34,8889.73,Check,Security,USD
PAY000009,EMP02048,Sep 2024,10392.83,273.03,223.61,10889.47,1345.45,548.32,428.59,73.4,8647.06,Direct Deposit,Legal,USD
PAY000010,EMP01161,Mar 2024,11176.67,2438.72,465.71,14081.1,1624.23,556.77,1056.96,179.35,11374.05,Check,Design,USD
PAY000011,EMP01455,Feb 2024,5746.83,732.92,58.52,6538.28,1181.54,390.39,294.13,194.59,4569.05,Direct Deposit,HR,USD
PAY000012,EMP01106,Apr 2024,8610.83,774.02,463.73,9848.59,1582.51,481.71,678.18,187.05,7211.06,Check,Security,USD
PAY000013,EMP01675,Mar 2024,20137.67,1570.92,954.94,22663.52,2745.59,798.55,1905.79,78.37,18087.53,Direct Deposit,Finance,USD
PAY000014,EMP01640,Mar 2024,5017.17,608.76,813.51,6439.43,722.59,737.93,444.65,4.59,5235.12,Direct Deposit,Customer Success,USD
PAY000015,EMP01598,Jul 2024,10501.75,587.61,233.13,11322.5,2170.57,584.51,758.7,145.47,7704.89,Check,Legal,USD
PAY000016,EMP01941,May 2024,10642.08,1727.68,527.65,12897.41,1287.6,265.58,1033.66,184.0,10751.41,Direct Deposit,Data Science,USD
PAY000017,EMP01714,Apr 2024,18067.75,141.41,0.0,18209.16,3535.09,332.35,984.61,56.7,12317.35,Check,Product,USD
PAY000018,EMP01248,May 2024,11631.17,2783.91,202.52,14617.59,2376.91,772.14,906.74,127.79,10656.07,Direct Deposit,HR,USD
PAY000019,EMP01742,Oct 2024,11168.25,234.1,416.64,11818.99,2215.96,641.2,784.77,65.16,8125.71,Check,QA,USD
