training_id,employee_id,course_name,provider,category,start_date,completion_date,status,score_pct,hours_spent,cost_usd,certificate_earned,mandatory,ai_recommended,skill_gap_addressed
TRN00001,EMP01900,Mental Health at Work,Harvard Online,Soft Skills,2024-11-03,,In Progress,,65,1663,No,No,No,Kubernetes
TRN00002,EMP02110,SQL Mastery,Pluralsight,Leadership,2023-05-04,2024-05-29,Completed,92,72,1390,No,No,Yes,Rust
TRN00003,EMP01163,Data Privacy (GDPR),Internal,Compliance,2024-03-02,,Enrolled,,38,1902,No,No,No,NLP
TRN00004,EMP02157,Security Awareness,Pluralsight,Compliance,2023-01-19,,In Progress,,28,1934,No,No,No,Java
TRN00005,EMP01871,UX Design Thinking,Skillsoft,Compliance,2023-11-10,2023-01-01,Completed,86,52,1060,No,No,Yes,HubSpot
TRN00006,EMP01316,Excel Advanced,Internal,Domain,2023-08-26,2023-01-06,Completed,100,72,61,No,Yes,Yes,Account Management
TRN00007,EMP01978,Legal Compliance 2024,Udemy,Technical,2024-10-28,,Dropped,,26,1162,No,Yes,Yes,JavaScript
TRN00008,EMP01243,Python for Data Science,Harvard Online,Compliance,2024-03-14,2024-10-04,Completed,81,59,1814,No,Yes,Yes,Deep Learning
TRN00009,EMP01782,AWS Certification,Internal,Technical,2023-03-20,2024-07-12,Completed,87,10,1191,No,Yes,Yes,Java
TRN00010,EMP01992,Leadership Fundamentals,Skillsoft,Leadership,2024-08-29,2023-12-07,Completed,94,6,1601,No,No,Yes,TypeScript
TRN00011,EMP01743,Leadership Fundamentals,LinkedIn Learning,Leadership,2024-05-14,,Dropped,,32,725,No,Yes,Yes,Azure
TRN00012,EMP01743,Product Management 101,Pluralsight,Leadership,2023-10-28,,Enrolled,,10,794,No,Yes,Yes,Kubernetes
TRN00013,EMP01764,React Development,Harvard Online,Soft Skills,2023-08-24,2024-03-08,Completed,86,2,1954,No,Yes,Yes,HubSpot
TRN00014,EMP01215,Agile & Scrum,Internal,Domain,2024-11-04,2023-05-18,Passed,66,17,1747,Yes,Yes,Yes,Legal Research
TRN00015,EMP01104,Financial Analysis,Coursera,Technical,2023-06-08,2024-04-09,Completed,65,80,36,No,No,Yes,Power BI
TRN00016,EMP01129,Public Speaking,Internal,Technical,2024-12-26,2023-12-07,Completed,84,19,498,No,Yes,Yes,HR Analytics
TRN00017,EMP01376,Docker & Kubernetes,Internal,Domain,2024-06-23,,In Progress,,45,1487,No,No,Yes,UX Research
TRN00018,EMP02159,Machine Learning Basics,LinkedIn Learning,Domain,2023-06-09,,In Progress,,80,663,No,No,No,NLP
TRN00019,EMP01684,SQL Mastery,Coursera,Technical,2023-08-17,2023-01-08,Completed,77,60,202,No,No,Yes,Agile
TRN00020,EMP02198,SQL Mastery,LinkedIn Learning,Soft Skills,2024-01-10,2023-09-11,Passed,62,17,1861,Yes,Yes,Yes,Power BI
TRN00021,EMP02191,Agile & Scrum,Pluralsight,Compliance,2023-01-13,,In Progress,,2,222,No,Yes,Yes,HR Analytics
TRN00022,EMP01501,Legal Compliance 2024,Skillsoft,Domain,2023-04-15,2024-07-02,Completed,91,39,200,No,No,No,Communication
TRN00023,EMP01603,SQL Mastery,Internal,Technical,2024-05-20,,Dropped,,6,1293,No,No,Yes,Product Management
TRN00024,EMP01935,Excel Advanced,Harvard Online,Leadership,2024-12-21,,Enrolled,,49,166,No,No,Yes,Leadership
TRN00025,EMP01353,UX Design Thinking,Skillsoft,Compliance,2024-03-14,2023-06-19,Passed,68,21,1394,Yes,No,No,Agile
TRN00026,EMP01561,Data Privacy (GDPR),Internal,Compliance,2024-08-14,2023-01-02,Completed,96,13,1323,No,Yes,No,AWS
TRN00027,EMP01883,Diversity & Inclusion,Coursera,Compliance,2023-04-14,2023-11-01,Completed,66,71,1610,No,No,Yes,Marketing Analytics
TRN00028,EMP01088,Mental Health at Work,Pluralsight,Leadership,2023-12-10,2024-03-21,Completed,60,72,512,No,No,Yes,Leadership
TRN00029,EMP01401,Data Privacy (GDPR),Harvard Online,Compliance,2024-01-22,,Enrolled,,74,1688,No,No,No,Leadership
TRN00030,EMP01533,Agile & Scrum,Udemy,Soft Skills,2023-10-26,2023-01-18,Completed,62,12,1545,No,No,Yes,Machine Learning
TRN00031,EMP01894,Product Management 101,Coursera,Technical,2024-01-01,2023-01-27,Completed,90,57,337,No,No,Yes,JavaScript
TRN00032,EMP01142,AWS Certification,Internal,Soft Skills,2023-07-09,2023-02-13,Completed,97,40,455,No,No,Yes,Machine Learning
TRN00033,EMP01041,Communication Skills,LinkedIn Learning,Technical,2024-11-20,,In Progress,,78,1121,No,No,No,Rust
TRN00034,EMP02063,Excel Advanced,LinkedIn Learning,Technical,2024-11-16,,In Progress,,32,1966,No,No,Yes,NLP
TRN00035,EMP01064,Docker & Kubernetes,Udemy,Compliance,2024-05-19,,Enrolled,,14,1305,No,Yes,No,TypeScript
TRN00036,EMP01725,Machine Learning Basics,Pluralsight,Leadership,2024-06-10,2024-08-29,Completed,83,28,1523,No,No,Yes,Salesforce
TRN00037,EMP01775,SQL Mastery,Harvard Online,Compliance,2023-11-28,2024-10-12,Completed,99,75,697,No,Yes,No,Figma
TRN00038,EMP01153,SQL Mastery,Internal,Technical,2023-10-23,,Failed,75,72,1009,No,Yes,No,Product Management
TRN00039,EMP01004,Mental Health at Work,LinkedIn Learning,Domain,2024-02-19,,Failed,62,56,1743,No,No,Yes,Azure
TRN00040,EMP01438,Communication Skills,LinkedIn Learning,Technical,2024-08-04,2024-11-24,Completed,84,76,393,No,Yes,No,HubSpot
TRN00041,EMP02022,Leadership Fundamentals,Coursera,Compliance,2023-12-31,,In Progress,,4,1083,No,Yes,No,Deep Learning
TRN00042,EMP01832,Product Management 101,LinkedIn Learning,Compliance,2023-12-22,2023-01-07,Completed,100,43,1837,No,Yes,Yes,Project Management
TRN00043,EMP01501,Leadership Fundamentals,Harvard Online,Compliance,2024-04-30,2024-02-25,Completed,92,9,1245,No,No,No,Financial Modeling
TRN00044,EMP01348,Leadership Fundamentals,LinkedIn Learning,Technical,2024-06-22,2023-08-31,Passed,77,41,61,Yes,Yes,No,Leadership
TRN00045,EMP01525,Legal Compliance 2024,Skillsoft,Technical,2023-05-08,2023-10-10,Completed,71,77,695,No,Yes,Yes,Customer Success
