review_id,employee_id,review_period,reviewer_id,overall_rating,goals_achieved_pct,communication_score,technical_score,leadership_score,collaboration_score,innovation_score,strengths,areas_for_improvement,promotion_recommended,salary_increase_recommended_pct,ai_sentiment_score,review_date
REV00001,EMP01210,Annual 2024,EMP01058,4,101,1,5,3,3,6,Team player,Communication clarity,No,6,7.88,2023-03-29
REV00002,EMP02192,Q3 2024,EMP01002,3,54,7,2,7,7,10,Customer focused,Technical depth,Yes,13,6.24,2023-02-10
REV00003,EMP01701,Q1 2024,EMP01076,2,107,10,6,2,2,2,Reliable and consistent,Stakeholder management,No,14,2.16,2024-08-19
REV00004,EMP01092,Q2 2024,EMP01001,4,81,6,9,7,1,3,Leadership potential,Technical depth,No,6,4.63,2023-07-02
REV00005,EMP02059,Annual 2024,EMP01071,3,105,9,5,7,10,4,Customer focused,Time management,Yes,14,6.82,2024-05-23
REV00006,EMP01503,Annual 2024,EMP01078,1,42,6,8,2,2,8,Innovative thinker,Documentation,Yes,8,1.44,2023-06-09
REV00007,EMP02069,Q4 2023,EMP01021,5,105,10,5,3,5,5,Team player,Stakeholder management,No,6,4.65,2024-03-14
REV00008,EMP01079,Q3 2024,EMP01022,3,90,8,2,2,9,9,Great communicator,Stakeholder management,Yes,16,2.52,2024-05-16
REV00009,EMP02050,Q4 2023,EMP01063,4,77,8,8,5,10,7,Customer focused,Strategic thinking,Yes,11,7.3,2024-04-18
REV00010,EMP01345,Annual 2023,EMP01027,5,53,9,9,2,6,7,Customer focused,Technical depth,Yes,3,8.38,2023-12-10
REV00011,EMP01409,Annual 2023,EMP01026,4,85,6,8,10,8,1,Customer focused,Strategic thinking,Yes,15,9.04,2024-10-19
REV00012,EMP01085,Annual 2024,EMP01095,3,87,6,4,1,1,2,Customer focused,Communication clarity,Yes,8,1.94,2024-04-27
REV00013,EMP01254,Q3 2024,EMP01016,4,53,3,10,9,6,7,Customer focused,Documentation,No,8,1.47,2024-01-10
REV00014,EMP01498,Annual 2024,EMP01004,4,120,3,6,2,8,8,Innovative thinker,Documentation,No,11,4.88,2023-06-09
REV00015,EMP01948,Q4 2023,EMP01040,3,59,5,4,8,5,3,Problem solver,Communication clarity,Yes,5,2.14,2023-10-09
REV00016,EMP01108,Q1 2024,EMP01100,3,113,7,1,8,3,7,Reliable and consistent,Communication clarity,Yes,3,7.52,2024-06-09
REV00017,EMP01667,Q4 2023,EMP01034,1,92,8,4,8,3,6,Strong technical skills,Time management,No,7,9.92,2023-05-01
REV00018,EMP02073,Q4 2024,EMP01054,3,119,4,3,1,6,1,Leadership potential,Documentation,Yes,1,4.57,2024-08-04
REV00019,EMP01562,Annual 2023,EMP01022,2,82,9,9,5,5,6,Problem solver,Communication clarity,No,8,6.22,2023-09-28
REV00020,EMP01107,Q1 2024,EMP01003,5,43,1,3,1,9,10,Leadership potential,Stakeholder management,No,1,3.68,2024-02-26
REV00021,EMP01210,Q2 2024,EMP01058,5,52,6,2,8,6,2,Leadership potential,Stakeholder management,No,5,9.02,2024-02-22
REV00022,EMP01045,Q3 2024,EMP01100,4,85,4,2,5,4,5,Problem solver,Communication clarity,Yes,15,8.44,2023-10-21
REV00023,EMP01321,Q1 2024,EMP01088,1,98,8,3,3,3,9,Customer focused,Technical depth,No,19,8.83,2024-06-02
REV00024,EMP01824,Q2 2024,EMP01006,4,102,5,3,9,7,1,Great communicator,Stakeholder management,No,20,5.24,2024-06-26
REV00025,EMP01650,Q2 2024,EMP01056,5,106,1,2,2,2,4,Strong technical skills,Documentation,Yes,5,7.18,2024-08-17
REV00026,EMP01222,Q2 2024,EMP01060,4,86,3,3,4,8,8,Reliable and consistent,Time management,Yes,9,8.16,2023-01-31
REV00027,EMP01573,Annual 2023,EMP01031,4,73,5,9,10,7,9,Innovative thinker,Stakeholder management,Yes,8,8.6,2024-12-31
REV00028,EMP01251,Q4 2023,EMP01049,2,86,6,5,3,8,10,Team player,Communication clarity,No,18,5.22,2023-05-16
REV00029,EMP01179,Q3 2024,EMP01096,4,49,7,10,1,5,8,Leadership potential,Time management,Yes,4,9.69,2024-03-13
REV00030,EMP01969,Annual 2024,EMP01084,4,86,5,5,2,10,1,Innovative thinker,Communication clarity,No,14,8.8,2023-06-20
REV00031,EMP01902,Annual 2023,EMP01010,3,44,6,1,4,6,7,Problem solver,Communication clarity,No,5,9.82,2023-10-08
REV00032,EMP01572,Annual 2023,EMP01099,3,81,7,1,5,9,6,Great communicator,Time management,No,18,1.28,2024-02-19
REV00033,EMP01466,Annual 2024,EMP01075,3,70,3,3,7,8,10,Great communicator,Time management,Yes,15,5.58,2023-04-27
REV00034,EMP01265,Q3 2024,EMP01078,4,98,3,10,2,7,10,Innovative thinker,Communication clarity,No,4,8.92,2024-09-13
REV00035,EMP01208,Q3 2024,EMP01079,3,72,2,9,8,6,8,Leadership potential,Time management,No,12,4.37,2024-05-11
REV00036,EMP01238,Q2 2024,EMP01019,4,86,9,9,4,7,7,Strong technical skills,Stakeholder management,No,17,2.95,2024-11-09
REV00037,EMP01415,Q1 2024,EMP01010,4,64,8,9,4,7,2,Reliable and consistent,Documentation,No,5,8.67,2024-02-29
REV00038,EMP01758,Q4 2023,EMP01064,3,106,1,9,1,8,10,Reliable and consistent,Stakeholder management,Yes,7,1.46,2023-02-20
REV00039,EMP01272,Annual 2024,EMP01074,2,86,1,10,4,7,1,Innovative thinker,Stakeholder management,Yes,19,2.4,2023-02-06
REV00040,EMP01345,Q2 2024,EMP01027,4,51,5,3,2,4,8,Innovative thinker,Stakeholder management,No,15,8.45,2023-08-22
REV00041,EMP01841,Q2 2024,EMP01047,4,92,9,10,5,10,6,Innovative thinker,Communication clarity,No,13,7.67,2023-05-09
REV00042,EMP01889,Q2 2024,EMP01085,4,71,7,10,9,4,3,Innovative thinker,Time management,No,5,8.18,2024-06-11
REV00043,EMP01127,Annual 2024,EMP01012,5,84,10,9,2,7,2,Strong technical skills,Strategic thinking,No,0,6.4,2024-07-28
